,Open time,Open time.1,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore.
2009,2019-11-02 22:40:00,2019-11-02 22:40:00,9288.89,9296.28,9288.2,9296.28,118.149,2019-11-02 22:44:59.999,1097957.39346,296.0,69.179,642870.01365,0
2010,2019-11-02 22:45:00,2019-11-02 22:45:00,9296.05,9301.54,9294.01,9295.65,141.759,2019-11-02 22:49:59.999,1318097.10753,491.0,68.479,636743.56245,0
2011,2019-11-02 22:50:00,2019-11-02 22:50:00,9295.52,9296.37,9288.59,9290.65,67.129,2019-11-02 22:54:59.999,623865.24282,196.0,11.814,109817.64816,0
2012,2019-11-02 22:55:00,2019-11-02 22:55:00,9290.5,9299.8,9289.64,9299.77,79.73,2019-11-02 22:59:59.999,741116.40396,301.0,61.196,568813.23522,0
2013,2019-11-02 23:00:00,2019-11-02 23:00:00,9299.76,9299.76,9296.02,9298.62,70.187,2019-11-02 23:04:59.999,652616.40416,251.0,34.023,316362.13956,0
2014,2019-11-02 23:05:00,2019-11-02 23:05:00,9299.0,9299.0,9285.36,9288.01,211.784,2019-11-02 23:09:59.999,1967717.87636,478.0,95.981,891770.49122,0
2015,2019-11-02 23:10:00,2019-11-02 23:10:00,9288.47,9290.59,9272.21,9274.21,178.759,2019-11-02 23:14:59.999,1658943.12823,510.0,58.909,546586.60515,0
2016,2019-11-02 23:15:00,2019-11-02 23:15:00,9275.98,9289.14,9272.13,9288.85,149.149,2019-11-02 23:19:59.999,1383727.32539,418.0,103.489,960222.53831,0
2017,2019-11-02 23:20:00,2019-11-02 23:20:00,9285.37,9294.9,9274.47,9281.44,248.299,2019-11-02 23:24:59.999,2305768.83722,704.0,85.418,793132.47018,0
2018,2019-11-02 23:25:00,2019-11-02 23:25:00,9281.44,9283.0,9278.66,9278.7,45.573,2019-11-02 23:29:59.999,422952.07073,254.0,29.75,276104.10753,0
2019,2019-11-02 23:30:00,2019-11-02 23:30:00,9279.0,9283.85,9278.7,9282.71,72.85,2019-11-02 23:34:59.999,676130.46689,214.0,41.035,380856.5881,0
2020,2019-11-02 23:35:00,2019-11-02 23:35:00,9282.71,9283.61,9280.0,9281.04,51.367,2019-11-02 23:39:59.999,476752.48047,219.0,8.641,80204.56827,0
2021,2019-11-02 23:40:00,2019-11-02 23:40:00,9280.13,9282.68,9275.36,9276.92,32.812,2019-11-02 23:44:59.999,304502.54248,209.0,19.764,183421.60497,0
2022,2019-11-02 23:45:00,2019-11-02 23:45:00,9276.92,9278.31,9272.37,9278.3,119.687,2019-11-02 23:49:59.999,1110106.20846,284.0,38.81,359993.9059,0
2023,2019-11-02 23:50:00,2019-11-02 23:50:00,9278.3,9279.76,9273.0,9276.45,119.413,2019-11-02 23:54:59.999,1107537.67219,217.0,87.652,812949.97785,0
2024,2019-11-02 23:55:00,2019-11-02 23:55:00,9276.9,9277.56,9274.6,9274.6,59.037,2019-11-02 23:59:59.999,547649.69988,121.0,27.174,252087.17556,0
2025,2019-11-03 00:00:00,2019-11-03 00:00:00,9274.78,9276.08,9272.0,9272.34,79.709,2019-11-03 00:04:59.999,739168.50821,295.0,15.473,143499.84014,0
2026,2019-11-03 00:05:00,2019-11-03 00:05:00,9272.34,9273.34,9270.0,9273.05,79.792,2019-11-03 00:09:59.999,739801.24741,229.0,53.365,494808.75351,0
2027,2019-11-03 00:10:00,2019-11-03 00:10:00,9273.17,9281.9,9273.17,9281.86,106.033,2019-11-03 00:14:59.999,983776.15549,235.0,95.811,888962.18506,0
2028,2019-11-03 00:15:00,2019-11-03 00:15:00,9281.88,9290.97,9281.86,9290.0,155.544,2019-11-03 00:19:59.999,1444423.3249,434.0,92.823,861965.64615,0
2029,2019-11-03 00:20:00,2019-11-03 00:20:00,9290.0,9292.79,9283.43,9284.63,155.408,2019-11-03 00:24:59.999,1443510.38423,244.0,33.046,307005.02727,0
2030,2019-11-03 00:25:00,2019-11-03 00:25:00,9284.6,9286.37,9283.95,9285.9,34.503,2019-11-03 00:29:59.999,320349.66072,151.0,21.436,199028.20321,0
2031,2019-11-03 00:30:00,2019-11-03 00:30:00,9285.9,9287.39,9285.19,9286.5,52.45,2019-11-03 00:34:59.999,487070.86756,119.0,29.832,277036.66853,0
2032,2019-11-03 00:35:00,2019-11-03 00:35:00,9287.06,9290.0,9286.12,9289.85,52.347,2019-11-03 00:39:59.999,486188.35751,159.0,21.076,195768.90024,0
2033,2019-11-03 00:40:00,2019-11-03 00:40:00,9289.8,9295.0,9288.81,9289.17,119.148,2019-11-03 00:44:59.999,1107120.11346,334.0,64.694,601158.37343,0
2034,2019-11-03 00:45:00,2019-11-03 00:45:00,9290.77,9290.77,9287.21,9288.49,35.696,2019-11-03 00:49:59.999,331567.22753,122.0,13.204,122647.4608,0
2035,2019-11-03 00:50:00,2019-11-03 00:50:00,9287.5,9292.0,9287.5,9288.47,52.022,2019-11-03 00:54:59.999,483304.68371,203.0,29.413,273270.26221,0
2036,2019-11-03 00:55:00,2019-11-03 00:55:00,9288.33,9288.6,9283.21,9285.0,76.136,2019-11-03 00:59:59.999,706980.50195,180.0,17.447,162012.2282,0
2037,2019-11-03 01:00:00,2019-11-03 01:00:00,9286.08,9286.08,9276.83,9282.9,168.516,2019-11-03 01:04:59.999,1563849.82584,358.0,106.911,992118.24592,0
2038,2019-11-03 01:05:00,2019-11-03 01:05:00,9283.92,9284.97,9279.61,9280.63,103.219,2019-11-03 01:09:59.999,958162.29594,203.0,43.564,404393.37863,0
2039,2019-11-03 01:10:00,2019-11-03 01:10:00,9280.63,9294.0,9280.63,9290.41,191.507,2019-11-03 01:14:59.999,1778938.96865,387.0,97.719,907681.26158,0
2040,2019-11-03 01:15:00,2019-11-03 01:15:00,9288.75,9294.0,9286.06,9294.0,94.615,2019-11-03 01:19:59.999,879013.81961,210.0,68.445,635909.24172,0
2041,2019-11-03 01:20:00,2019-11-03 01:20:00,9294.0,9294.0,9287.85,9288.91,88.713,2019-11-03 01:24:59.999,824210.48244,235.0,38.951,361856.60821,0
2042,2019-11-03 01:25:00,2019-11-03 01:25:00,9289.65,9291.98,9284.35,9287.16,132.367,2019-11-03 01:29:59.999,1229287.31256,211.0,55.892,519087.90649,0
2043,2019-11-03 01:30:00,2019-11-03 01:30:00,9286.5,9286.82,9280.4,9285.13,178.718,2019-11-03 01:34:59.999,1659087.67395,299.0,95.368,885300.26098,0
2044,2019-11-03 01:35:00,2019-11-03 01:35:00,9285.31,9287.02,9280.01,9286.53,168.819,2019-11-03 01:39:59.999,1567121.30085,293.0,105.777,981938.1245,0
2045,2019-11-03 01:40:00,2019-11-03 01:40:00,9286.53,9289.35,9281.57,9284.08,69.311,2019-11-03 01:44:59.999,643664.55943,153.0,22.974,213361.26061,0
2046,2019-11-03 01:45:00,2019-11-03 01:45:00,9284.08,9290.3,9281.09,9288.0,93.928,2019-11-03 01:49:59.999,872188.39262,210.0,44.246,410806.55231,0
2047,2019-11-03 01:50:00,2019-11-03 01:50:00,9288.0,9291.99,9282.91,9291.08,118.67,2019-11-03 01:54:59.999,1102232.82027,258.0,84.124,781351.02715,0
2048,2019-11-03 01:55:00,2019-11-03 01:55:00,9291.99,9294.0,9285.01,9287.8,162.869,2019-11-03 01:59:59.999,1513037.0898,314.0,72.25,671231.64506,0
2049,2019-11-03 02:00:00,2019-11-03 02:00:00,9288.96,9336.35,9287.95,9309.87,900.144,2019-11-03 02:04:59.999,8384522.85178,2111.0,519.755,4841529.62688,0
2050,2019-11-03 02:05:00,2019-11-03 02:05:00,9309.7,9324.99,9307.86,9321.01,409.067,2019-11-03 02:09:59.999,3811673.62377,700.0,205.475,1914371.10888,0
2051,2019-11-03 02:10:00,2019-11-03 02:10:00,9320.8,9322.0,9302.98,9310.72,340.326,2019-11-03 02:14:59.999,3168728.70772,678.0,168.7,1570688.18773,0
2052,2019-11-03 02:15:00,2019-11-03 02:15:00,9311.24,9319.76,9310.72,9314.88,156.751,2019-11-03 02:19:59.999,1460226.76963,366.0,70.781,659350.90907,0
2053,2019-11-03 02:20:00,2019-11-03 02:20:00,9314.8,9316.07,9300.0,9304.08,142.034,2019-11-03 02:24:59.999,1322188.9974,376.0,43.693,406704.5537,0
2054,2019-11-03 02:25:00,2019-11-03 02:25:00,9304.0,9307.7,9301.11,9302.63,111.887,2019-11-03 02:29:59.999,1040961.252,219.0,51.426,478466.51245,0
2055,2019-11-03 02:30:00,2019-11-03 02:30:00,9302.6,9308.96,9297.73,9308.19,144.12,2019-11-03 02:34:59.999,1340788.08773,390.0,85.152,792209.72636,0
2056,2019-11-03 02:35:00,2019-11-03 02:35:00,9308.19,9310.0,9303.14,9309.76,111.341,2019-11-03 02:39:59.999,1036220.33073,242.0,56.945,529964.72996,0
2057,2019-11-03 02:40:00,2019-11-03 02:40:00,9309.8,9310.0,9307.0,9307.0,73.267,2019-11-03 02:44:59.999,681974.34871,201.0,33.009,307244.14555,0
2058,2019-11-03 02:45:00,2019-11-03 02:45:00,9307.0,9307.0,9301.27,9303.0,61.33,2019-11-03 02:49:59.999,570549.66806,163.0,21.54,200382.76381,0
2059,2019-11-03 02:50:00,2019-11-03 02:50:00,9302.86,9303.0,9297.47,9300.79,76.812,2019-11-03 02:54:59.999,714351.13656,243.0,40.257,374362.70779,0
2060,2019-11-03 02:55:00,2019-11-03 02:55:00,9300.49,9303.98,9300.49,9303.93,22.383,2019-11-03 02:59:59.999,208217.84269,87.0,18.368,170870.05483,0
2061,2019-11-03 03:00:00,2019-11-03 03:00:00,9303.01,9305.67,9302.25,9304.0,72.261,2019-11-03 03:04:59.999,672321.94514,174.0,35.91,334123.82999,0
2062,2019-11-03 03:05:00,2019-11-03 03:05:00,9304.0,9304.64,9300.36,9300.36,51.343,2019-11-03 03:09:59.999,477639.40851,135.0,4.486,41734.21173,0
2063,2019-11-03 03:10:00,2019-11-03 03:10:00,9300.36,9304.42,9300.05,9304.42,46.159,2019-11-03 03:14:59.999,429356.00819,158.0,25.312,235456.56036,0
2064,2019-11-03 03:15:00,2019-11-03 03:15:00,9304.01,9312.07,9302.99,9309.56,82.774,2019-11-03 03:19:59.999,770472.23093,250.0,72.295,672928.53549,0
2065,2019-11-03 03:20:00,2019-11-03 03:20:00,9309.05,9313.2,9306.41,9310.62,112.078,2019-11-03 03:24:59.999,1043508.87484,503.0,43.681,406694.0905,0
2066,2019-11-03 03:25:00,2019-11-03 03:25:00,9311.99,9313.39,9309.7,9310.92,44.43,2019-11-03 03:29:59.999,413714.54631,264.0,20.743,193160.75629,0
2067,2019-11-03 03:30:00,2019-11-03 03:30:00,9310.92,9310.92,9308.48,9310.92,24.097,2019-11-03 03:34:59.999,224351.2209,124.0,8.875,82633.56215,0
2068,2019-11-03 03:35:00,2019-11-03 03:35:00,9310.92,9314.94,9310.92,9313.22,59.212,2019-11-03 03:39:59.999,551465.9475,290.0,13.632,126955.32829,0
2069,2019-11-03 03:40:00,2019-11-03 03:40:00,9313.88,9316.4,9307.0,9316.4,100.052,2019-11-03 03:44:59.999,931660.02109,267.0,44.526,414632.21885,0
2070,2019-11-03 03:45:00,2019-11-03 03:45:00,9316.4,9317.26,9312.78,9313.0,84.435,2019-11-03 03:49:59.999,786491.64429,292.0,41.702,388461.84897,0
2071,2019-11-03 03:50:00,2019-11-03 03:50:00,9313.01,9313.01,9309.09,9310.01,95.371,2019-11-03 03:54:59.999,888006.76908,227.0,39.416,367017.45773,0
2072,2019-11-03 03:55:00,2019-11-03 03:55:00,9310.0,9315.55,9309.0,9314.98,100.186,2019-11-03 03:59:59.999,932925.27647,281.0,58.842,547934.39273,0
2073,2019-11-03 04:00:00,2019-11-03 04:00:00,9314.98,9317.15,9312.71,9317.1,158.776,2019-11-03 04:04:59.999,1479071.58337,314.0,99.507,926966.98651,0
2074,2019-11-03 04:05:00,2019-11-03 04:05:00,9315.97,9326.05,9315.97,9325.83,79.023,2019-11-03 04:09:59.999,736563.12235,305.0,61.957,577507.20846,0
2075,2019-11-03 04:10:00,2019-11-03 04:10:00,9326.05,9354.31,9320.0,9326.34,621.665,2019-11-03 04:14:59.999,5804103.06107,1456.0,356.099,3325481.85246,0
2076,2019-11-03 04:15:00,2019-11-03 04:15:00,9326.0,9339.3,9325.68,9330.87,266.201,2019-11-03 04:19:59.999,2484559.99457,672.0,101.504,947359.11086,0
2077,2019-11-03 04:20:00,2019-11-03 04:20:00,9330.8,9342.18,9330.0,9339.84,229.81,2019-11-03 04:24:59.999,2144983.49079,349.0,120.541,1125353.43335,0
2078,2019-11-03 04:25:00,2019-11-03 04:25:00,9339.88,9354.85,9339.88,9345.78,329.683,2019-11-03 04:29:59.999,3081758.65464,896.0,157.933,1476340.76101,0
2079,2019-11-03 04:30:00,2019-11-03 04:30:00,9345.22,9345.63,9335.0,9340.0,215.645,2019-11-03 04:34:59.999,2014167.92427,535.0,100.576,939334.56684,0
2080,2019-11-03 04:35:00,2019-11-03 04:35:00,9340.4,9351.08,9335.2,9346.77,286.986,2019-11-03 04:39:59.999,2680851.59063,561.0,168.903,1577884.70372,0
2081,2019-11-03 04:40:00,2019-11-03 04:40:00,9346.3,9349.0,9340.11,9346.16,187.366,2019-11-03 04:44:59.999,1751028.6925,404.0,115.437,1078763.45212,0
2082,2019-11-03 04:45:00,2019-11-03 04:45:00,9346.16,9360.0,9343.21,9345.08,490.344,2019-11-03 04:49:59.999,4585688.81238,949.0,281.385,2631607.41028,0
2083,2019-11-03 04:50:00,2019-11-03 04:50:00,9345.08,9355.94,9338.98,9352.1,357.912,2019-11-03 04:54:59.999,3346159.15625,795.0,171.775,1605964.72328,0
2084,2019-11-03 04:55:00,2019-11-03 04:55:00,9352.37,9366.69,9351.92,9358.79,219.188,2019-11-03 04:59:59.999,2051090.11319,476.0,115.123,1077282.01358,0
2085,2019-11-03 05:00:00,2019-11-03 05:00:00,9358.87,9363.86,9332.0,9339.64,409.957,2019-11-03 05:04:59.999,3831298.42854,1022.0,213.075,1991457.30948,0
2086,2019-11-03 05:05:00,2019-11-03 05:05:00,9340.09,9342.0,9325.02,9335.06,316.612,2019-11-03 05:09:59.999,2954859.69001,694.0,131.409,1226476.91586,0
2087,2019-11-03 05:10:00,2019-11-03 05:10:00,9337.95,9342.38,9329.48,9329.49,246.435,2019-11-03 05:14:59.999,2300543.20777,443.0,113.82,1062586.20443,0
2088,2019-11-03 05:15:00,2019-11-03 05:15:00,9329.0,9337.95,9327.0,9337.23,133.856,2019-11-03 05:19:59.999,1249101.80263,294.0,100.072,933885.48116,0
2089,2019-11-03 05:20:00,2019-11-03 05:20:00,9337.2,9337.2,9320.16,9323.18,112.306,2019-11-03 05:24:59.999,1047360.88994,336.0,39.277,366328.56552,0
2090,2019-11-03 05:25:00,2019-11-03 05:25:00,9323.26,9330.1,9323.0,9323.74,106.254,2019-11-03 05:29:59.999,990963.64135,283.0,42.295,394437.4247,0
2091,2019-11-03 05:30:00,2019-11-03 05:30:00,9323.74,9339.85,9320.16,9327.36,148.929,2019-11-03 05:34:59.999,1389411.37692,378.0,103.399,964759.17391,0
2092,2019-11-03 05:35:00,2019-11-03 05:35:00,9328.8,9332.8,9325.62,9332.0,98.087,2019-11-03 05:39:59.999,915137.77964,375.0,73.621,686872.95035,0
2093,2019-11-03 05:40:00,2019-11-03 05:40:00,9332.4,9339.94,9328.81,9339.94,87.282,2019-11-03 05:44:59.999,814905.30728,276.0,71.892,671221.84354,0
2094,2019-11-03 05:45:00,2019-11-03 05:45:00,9339.94,9341.49,9325.0,9330.32,120.746,2019-11-03 05:49:59.999,1126563.86577,468.0,41.84,390387.61264,0
2095,2019-11-03 05:50:00,2019-11-03 05:50:00,9331.23,9338.08,9326.5,9328.17,162.373,2019-11-03 05:54:59.999,1515367.43286,446.0,64.379,600698.11289,0
2096,2019-11-03 05:55:00,2019-11-03 05:55:00,9328.6,9337.26,9325.0,9335.07,82.46,2019-11-03 05:59:59.999,769457.10426,233.0,67.756,632265.50747,0
2097,2019-11-03 06:00:00,2019-11-03 06:00:00,9333.61,9333.61,9316.11,9320.1,232.684,2019-11-03 06:04:59.999,2169356.50314,1125.0,53.447,498278.6456,0
2098,2019-11-03 06:05:00,2019-11-03 06:05:00,9321.01,9323.97,9310.0,9310.01,215.629,2019-11-03 06:09:59.999,2008315.613,732.0,105.524,982802.18177,0
2099,2019-11-03 06:10:00,2019-11-03 06:10:00,9310.01,9322.99,9310.0,9312.13,151.845,2019-11-03 06:14:59.999,1414464.97289,678.0,70.256,654379.36085,0
2100,2019-11-03 06:15:00,2019-11-03 06:15:00,9312.85,9315.0,9297.31,9297.98,296.46,2019-11-03 06:19:59.999,2758910.41866,791.0,69.943,650943.22673,0
2101,2019-11-03 06:20:00,2019-11-03 06:20:00,9298.48,9310.33,9297.98,9303.89,181.602,2019-11-03 06:24:59.999,1689260.42515,489.0,97.013,902447.44652,0
2102,2019-11-03 06:25:00,2019-11-03 06:25:00,9303.89,9304.88,9287.23,9290.01,332.114,2019-11-03 06:29:59.999,3087033.77155,1431.0,139.586,1297588.88983,0
2103,2019-11-03 06:30:00,2019-11-03 06:30:00,9290.01,9295.0,9223.53,9275.28,2074.139,2019-11-03 06:34:59.999,19211338.6208,4787.0,982.531,9102666.52173,0
